GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,
4/24/2016,Nick,Ahmed,ARI,-0.60,,,,,,,,,6,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,1,,0,4,,,,,,,
4/30/2016,Nick,Ahmed,ARI,-0.82,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,0,3,,,,,,,
4/24/2016,Welington,Castillo,ARI,2.71,,,,,,,,,7,5,2,3,2,0,0,1,3,0,0,0,2,1,1,0,0,0,1,0,3,0,,0,2,,,,,,,
4/29/2016,Welington,Castillo,ARI,-0.36,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,,0,3,,,,,,,
4/30/2016,Welington,Castillo,ARI,-0.48,,,,,,,,,4,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,,0,3,,,,,,,
4/6/2016,Brandon,Drury,ARI,-0.36,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,,1,3,,,,,,,
4/9/2016,Brandon,Drury,ARI,1.01,,,,,,,,,3,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,,0,1,,,,,,,
4/10/2016,Brandon,Drury,ARI,-1.00,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,4,,,,,,,
4/13/2016,Brandon,Drury,ARI,-0.89,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,,0,3,,,,,,,
4/14/2016,Brandon,Drury,ARI,-1.15,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,,0,4,,,,,,,
4/16/2016,Brandon,Drury,ARI,0.68,,,,,,,,,5,3,0,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,2,0,0,,0,2,,,,,,,
4/17/2016,Brandon,Drury,ARI,1.92,,,,,,,,,4,4,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,1,1,,0,2,,,,,,,
4/18/2016,Brandon,Drury,ARI,-1.28,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,,0,3,,,,,,,
4/20/2016,Brandon,Drury,ARI,0.93,,,,,,,,,4,3,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,,0,1,,,,,,,
4/22/2016,Brandon,Drury,ARI,-0.29,,,,,,,,,5,5,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,,0,3,,,,,,,
4/24/2016,Brandon,Drury,ARI,0.99,,,,,,,,,7,7,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,,0,4,,,,,,,
4/25/2016,Brandon,Drury,ARI,-0.02,,,,,,,,,5,5,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,,0,3,,,,,,,
4/27/2016,Brandon,Drury,ARI,0.58,,,,,,,,,4,4,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1,1,,0,3,,,,,,,
4/28/2016,Brandon,Drury,ARI,1.70,,,,,,,,,4,4,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,2,,0,2,,,,,,,
4/29/2016,Brandon,Drury,ARI,-0.90,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,,0,3,,,,,,,
4/30/2016,Brandon,Drury,ARI,0.58,,,,,,,,,4,4,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,1,0,0,,0,3,,,,,,,
4/4/2016,Paul Edward,Goldschmidt,ARI,-0.82,,,,,,,,,5,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,,0,4,,,,,,,
4/24/2016,Paul,Goldschmidt,ARI,3.22,,,,,,,,,7,4,3,2,0,0,0,2,3,0,0,0,3,1,0,0,0,0,0,3,0,1,,0,2,,,,,,,
4/30/2016,Paul,Goldschmidt,ARI,0.35,,,,,,,,,4,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,,0,2,,,,,,,
4/10/2016,Phil David,Gosselin,ARI,-0.82,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,,0,3,,,,,,,
4/17/2016,Christopher,Herrmann,ARI,-1.53,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,,0,4,,,,,,,
4/17/2016,Christopher Scott,Owings,ARI,-0.90,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,,0,3,,,,,,,
4/20/2016,Christopher Scott,Owings,ARI,-0.82,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,3,,,,,,,
4/21/2016,Christopher Scott,Owings,ARI,1.02,,,,,,,,,4,4,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,2,,,,,,,
4/24/2016,Christopher,Owings,ARI,0.20,,,,,,,,,4,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,3,,,,,,,
4/30/2016,Christopher,Owings,ARI,0.41,,,,,,,,,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,,0,1,,,,,,,
4/24/2016,Senger,Peralta,ARI,-0.42,,,,,,,,,5,5,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,,0,4,,,,,,,
4/30/2016,Senger,Peralta,ARI,-1.00,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,0,4,,,,,,,
4/24/2016,Jean,Segura,ARI,-1.26,,,,,,,,,7,7,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,,0,6,,,,,,,
4/30/2016,Jean,Segura,ARI,-0.36,,,,,,,,,4,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,0,3,,,,,,,
4/16/2016,Yasmany,Tomas,ARI,0.90,,,,,,,,,6,6,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,,0,3,,,,,,,
4/30/2016,Yasmany,Tomas,ARI,-0.88,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,,0,3,,,,,,,
4/17/2016,Rickie,Weeks,ARI,0.13,,,,,,,,,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,,0,2,,,,,,,
4/19/2016,Daniel Alejandro,Castro,ATL,-0.61,,,,,,,,,5,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,,0,4,,,,,,,
4/20/2016,Daniel Alejandro,Castro,ATL,0.47,,,,,,,,,5,5,1,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,1,0,,0,3,,,,,,,
4/21/2016,Daniel Alejandro,Castro,ATL,-0.35,,,,,,,,,5,5,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,,0,4,,,,,,,
4/22/2016,Daniel Alejandro,Castro,ATL,-0.03,,,,,,,,,5,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,,1,3,,,,,,,
4/23/2016,Daniel,Castro,ATL,0.35,,,,,,,,,4,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,0,2,,,,,,,
4/8/2016,Tyler,Flowers,ATL,0.29,,,,,,,,,4,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,,0,2,,,,,,,
4/21/2016,Tyler,Flowers,ATL,-0.36,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,,0,3,,,,,,,
4/23/2016,Freddie,Freeman,ATL,0.61,,,,,,,,,4,4,0,2,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,,0,2,,,,,,,
4/4/2016,Adonis,Garcia,ATL,1.16,,,,,,,,,4,3,1,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,1,1,0,0,,0,2,,,,,,,
4/20/2016,Kelly,Johnson,ATL,-1.40,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,,0,5,,,,,,,
4/4/2016,Nicholas,Markakis,ATL,-0.57,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,,0,3,,,,,,,
4/14/2016,Jace Ryan,Peterson,ATL,-0.11,,,,,,,,,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,2,,,,,,,
4/24/2016,Jace,Peterson,ATL,-0.11,,,,,,,,,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,2,,,,,,,
4/28/2016,Jace,Peterson,ATL,0.67,,,,,,,,,4,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,
4/15/2016,Robert,Stubbs,ATL,-1.22,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,0,4,,,,,,,
4/16/2016,Pedro Manuel,Alvarez,BAL,0.22,,,,,,,,,4,3,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,,0,2,,,,,,,
4/20/2016,Pedro Manuel,Alvarez,BAL,-1.07,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,,0,4,,,,,,,
4/30/2016,Pedro,Alvarez,BAL,2.09,,,,,,,,,5,5,1,3,1,1,0,1,2,0,0,0,0,1,0,0,0,0,1,3,0,0,,1,2,,,,,,,
4/4/2016,Christopher,Davis,BAL,-0.16,,,,,,,,,5,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,,0,3,,,,,,,
4/20/2016,Christopher,Davis,BAL,0.22,,,,,,,,,4,3,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,,0,2,,,,,,,
4/30/2016,Christopher,Davis,BAL,1.09,,,,,,,,,5,4,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,,0,2,,,,,,,
4/30/2016,James,Hardy,BAL,-1.40,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,,0,5,,,,,,,
4/30/2016,Adam,Jones,BAL,0.63,,,,,,,,,5,4,2,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,,0,2,,,,,,,
4/7/2016,Caleb,Joseph,BAL,-0.82,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,,0,3,,,,,,,
4/20/2016,Caleb,Joseph,BAL,-0.10,,,,,,,,,4,4,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,,0,3,,,,,,,
4/30/2016,Hyun,Kim,BAL,1.01,,,,,,,,,4,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,,0,1,,,,,,,
4/4/2016,Manny Arturo,Machado,BAL,-0.61,,,,,,,,,5,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,,0,4,,,,,,,
4/20/2016,Manny Arturo,Machado,BAL,1.67,,,,,,,,,5,3,1,2,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,,0,1,,,,,,,
4/30/2016,Manny,Machado,BAL,0.17,,,,,,,,,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,,1,3,,,,,,,
4/27/2016,Nolan,Reimold,BAL,-0.24,,,,,,,,,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,0,2,,,,,,,
4/4/2016,Joey Mark,Rickard,BAL,0.69,,,,,,,,,4,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,,0,2,,,,,,,
4/20/2016,Joey Mark,Rickard,BAL,1.15,,,,,,,,,5,5,1,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,,2,2,,,,,,,
4/4/2016,Jonathan Jezus,Schoop,BAL,0.63,,,,,,,,,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,,0,2,,,,,,,
4/8/2016,Jonathan Jezus,Schoop,BAL,0.83,,,,,,,,,3,3,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,,0,2,,,,,,,
4/23/2016,Jonathan,Schoop,BAL,0.35,,,,,,,,,4,4,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,,0,2,,,,,,,
4/30/2016,Jonathan,Schoop,BAL,1.23,,,,,,,,,4,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,,0,2,,,,,,,
4/4/2016,Mark,Trumbo,BAL,1.89,,,,,,,,,5,5,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,,0,1,,,,,,,
4/20/2016,Mark,Trumbo,BAL,-1.21,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1,,1,3,,,,,,,
4/30/2016,Mark,Trumbo,BAL,-0.36,,,,,,,,,4,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,3,,,,,,,
4/25/2016,Matthew,Wieters,BAL,-0.11,,,,,,,,,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,,0,2,,,,,,,
4/30/2016,Matthew,Wieters,BAL,-0.82,,,,,,,,,5,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,,0,4,,,,,,,
4/5/2016,Markus Lynn,Betts,BOS,0.58,,,,,,,,,5,5,1,2,1,0,0,1,2,0,0,0,0,1,0,0,1,0,1,2,1,0,,0,3,,,,,,,
4/16/2016,Markus Lynn,Betts,BOS,-1.07,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,,0,4,,,,,,,
4/30/2016,Markus,Betts,BOS,0.74,,,,,,,,,5,5,0,2,1,1,0,0,3,0,0,0,0,1,1,0,0,0,2,2,0,0,,1,3,,,,,,,
4/5/2016,Xander Jan,Bogaerts,BOS,-1.32,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,,0,5,,,,,,,
4/30/2016,Xander,Bogaerts,BOS,-0.03,,,,,,,,,5,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,,0,3,,,,,,,
4/16/2016,Jackie,Bradley Jr.,BOS,-0.04,,,,,,,,,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,1,2,,,,,,,
4/30/2016,Jackie,Bradley Jr.,BOS,3.17,,,,,,,,,4,3,2,3,0,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,,0,0,,,,,,,
4/9/2016,Rusney,Castillo,BOS,0.76,,,,,,,,,4,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,0,2,,,,,,,
4/17/2016,Ryan,Hanigan,BOS,-0.49,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,,0,3,,,,,,,
4/17/2016,Marco Antonio,Hernandez,BOS,0.84,,,,,,,,,3,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,,0,1,,,,,,,
4/30/2016,Brock,Holt,BOS,0.75,,,,,,,,,5,4,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,,1,2,,,,,,,
4/27/2016,David,Ortiz,BOS,1.90,,,,,,,,,5,5,2,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,,0,2,,,,,,,
4/28/2016,David,Ortiz,BOS,-1.15,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,,0,4,,,,,,,
4/30/2016,David,Ortiz,BOS,1.94,,,,,,,,,4,3,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,,0,1,,,,,,,
4/5/2016,Dustin,Pedroia,BOS,-0.67,,,,,,,,,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,,0,4,,,,,,,
4/30/2016,Dustin,Pedroia,BOS,-0.74,,,,,,,,,5,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,,0,4,,,,,,,
4/25/2016,Rick,Porcello,BOS,-0.04,,,,,,,,,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,,,,,,,
4/5/2016,Hanley,Ramirez,BOS,0.68,,,,,,,,,5,4,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,,0,2,,,,,,,
4/27/2016,Hanley,Ramirez,BOS,-0.06,,,,,,,,,4,4,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,,0,3,,,,,,,
4/30/2016,Hanley,Ramirez,BOS,-0.11,,,,,,,,,5,4,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,,0,3,,,,,,,
4/18/2016,Josh Alan,Rutledge,BOS,0.23,,,,,,,,,3,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,2,,,,,,,
4/16/2016,Travis,Shaw,BOS,0.42,,,,,,,,,4,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,,0,2,,,,,,,
4/30/2016,Travis,Shaw,BOS,0.02,,,,,,,,,5,5,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,,0,3,,,,,,,
4/9/2016,Blake Aubry,Swihart,BOS,0.74,,,,,,,,,4,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,,0,1,,,,,,,
4/30/2016,Christian,Vazquez,BOS,-0.69,,,,,,,,,5,5,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,,0,4,,,,,,,
4/17/2016,Christopher,Young,BOS,-1.22,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,0,4,,,,,,,
4/14/2016,Jose Dariel,Abreu,CHA,0.14,,,,,,,,,4,3,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,,0,2,,,,,,,
4/30/2016,Jose,Abreu,CHA,-0.29,,,,,,,,,5,5,1,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,2,0,,0,3,,,,,,,
4/13/2016,Alex,Avila,CHA,-1.07,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,0,4,,,,,,,
4/20/2016,Alex,Avila,CHA,-0.23,,,,,,,,,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,,0,2,,,,,,,
4/21/2016,Alex,Avila,CHA,0.47,,,,,,,,,3,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,0,1,,,,,,,
4/23/2016,Alex,Avila,CHA,1.12,,,,,,,,,3,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,,1,0,,,,,,,
4/30/2016,Melky,Cabrera,CHA,-1.32,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,,0,5,,,,,,,
4/14/2016,Adam,Eaton,CHA,0.36,,,,,,,,,5,5,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,,0,3,,,,,,,
4/30/2016,Adam,Eaton,CHA,0.04,,,,,,,,,5,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,3,,,,,,,
4/14/2016,Todd,Frazier,CHA,-0.77,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,,0,4,,,,,,,
4/30/2016,Todd,Frazier,CHA,0.98,,,,,,,,,5,4,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,2,0,1,,0,3,,,,,,,
4/25/2016,Avisail,Garcia,CHA,0.69,,,,,,,,,4,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,,0,2,,,,,,,
4/26/2016,Avisail,Garcia,CHA,2.14,,,,,,,,,5,3,3,2,1,0,0,1,2,0,1,0,1,0,0,0,0,0,2,1,1,0,,0,1,,,,,,,
4/28/2016,Avisail,Garcia,CHA,1.00,,,,,,,,,4,3,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,,1,1,,,,,,,
4/30/2016,Austin,Jackson,CHA,-0.44,,,,,,,,,4,4,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,,0,3,,,,,,,
4/14/2016,Brett,Lawrie,CHA,-0.75,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,,1,3,,,,,,,
4/30/2016,Brett,Lawrie,CHA,1.46,,,,,,,,,4,3,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,,0,2,,,,,,,
4/30/2016,Dioner,Navarro,CHA,-0.44,,,,,,,,,4,4,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,,0,3,,,,,,,
4/22/2016,Tyler,Saladino,CHA,-0.75,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,3,,,,,,,
4/30/2016,Tyler,Saladino,CHA,-1.28,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,,0,3,,,,,,,
4/13/2016,Gerald,Sands,CHA,0.43,,,,,,,,,4,4,1,1,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,0,,0,3,,,,,,,
4/30/2016,Gerald,Sands,CHA,0.35,,,,,,,,,4,4,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,,0,2,,,,,,,
4/4/2016,Kris,Bryant,CHN,-0.24,,,,,,,,,5,3,2,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,,0,3,,,,,,,
4/29/2016,Dexter,Fowler,CHN,0.16,,,,,,,,,4,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,,0,2,,,,,,,
4/29/2016,Jason,Heyward,CHN,-0.49,,,,,,,,,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,,0,3,,,,,,,
4/28/2016,Tommy,La Stella,CHN,1.21,,,,,,,,,4,2,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,,0,1,,,,,,,
